"Date","Price","Open","High","Low","Vol.","Change %"
"05/25/2008","72.88","71.98","73.22","71.84","","1.38%"
"05/18/2008","71.89","72.81","73.17","71.82","","-1.30%"
"05/11/2008","72.84","73.06","73.62","72.69","","-0.29%"
"05/04/2008","73.05","73.46","73.89","72.73","","-0.61%"
"04/27/2008","73.50","72.73","73.70","72.44","","0.98%"
"04/20/2008","72.79","71.98","73.03","71.19","","1.08%"
"04/13/2008","72.01","72.36","72.41","71.28","","0.28%"
"04/06/2008","71.81","71.98","72.43","71.42","","-0.29%"
"03/30/2008","72.02","71.61","72.84","71.35","","0.47%"
"03/23/2008","71.68","72.78","73.19","71.33","","-1.47%"
"03/16/2008","72.75","71.63","72.92","70.70","","1.52%"
"03/09/2008","71.66","72.99","73.40","71.58","","-1.88%"
"03/02/2008","73.03","73.75","73.95","72.46","","-0.92%"
"02/24/2008","73.71","75.53","75.69","73.56","","-2.40%"
"02/17/2008","75.52","76.07","76.53","75.36","","-0.76%"
"02/10/2008","76.10","76.45","76.71","75.85","","-0.74%"
"02/03/2008","76.67","75.44","77.04","75.28","","1.63%"
"01/27/2008","75.44","75.94","76.02","74.85","","-0.70%"
"01/20/2008","75.97","76.66","77.35","75.62","","-0.54%"
"01/13/2008","76.38","75.61","76.52","75.20","","0.53%"
"01/06/2008","75.98","76.05","76.52","75.79","","0.25%"
"12/30/2007","75.79","75.98","76.75","75.43","","-0.56%"
"12/23/2007","76.22","77.63","77.70","76.11","","-1.93%"
"12/16/2007","77.72","77.37","77.85","77.27","","0.36%"
"12/09/2007","77.44","76.30","77.48","75.92","","1.51%"
"12/02/2007","76.29","75.93","76.82","75.59","","0.18%"
"11/25/2007","76.15","75.11","76.18","74.75","","1.47%"
"11/18/2007","75.05","75.78","75.96","74.48","","-1.03%"
"11/11/2007","75.83","75.52","76.15","75.38","","0.57%"
"11/04/2007","75.40","76.39","76.50","74.98","","-1.23%"
"10/28/2007","76.34","76.87","77.09","76.22","","-0.90%"
"10/21/2007","77.03","77.28","78.20","76.98","","-0.49%"
"10/14/2007","77.41","78.21","78.34","77.40","","-1.04%"
"10/07/2007","78.22","78.32","78.89","77.96","","-0.11%"
"09/30/2007","78.31","77.79","78.82","77.66","","0.76%"
"09/23/2007","77.72","78.39","78.69","77.67","","-1.12%"
"09/16/2007","78.60","79.66","79.85","78.40","","-1.28%"
"09/09/2007","79.62","79.91","80.00","79.30","","-0.43%"
"09/02/2007","79.96","80.81","81.14","79.84","","-1.03%"
"08/26/2007","80.79","80.70","81.05","80.44","","0.15%"
"08/19/2007","80.67","81.32","81.57","80.61","","-0.93%"
"08/12/2007","81.43","80.73","82.13","80.62","","0.93%"
"08/05/2007","80.68","80.11","80.92","79.96","","0.62%"
"07/29/2007","80.18","80.97","81.09","80.16","","-0.95%"
"07/22/2007","80.95","80.13","81.01","80.02","","0.82%"
"07/15/2007","80.29","80.53","80.67","80.12","","-0.36%"
"07/08/2007","80.58","81.46","81.58","80.44","","-1.09%"
"07/01/2007","81.47","81.87","81.95","81.24","","-0.55%"
"06/24/2007","81.92","82.34","82.48","81.90","","-0.51%"
"06/17/2007","82.34","82.84","82.86","82.32","","-0.62%"
"06/10/2007","82.85","82.71","83.27","82.62","","0.19%"
"06/03/2007","82.69","82.33","82.92","81.70","","0.45%"
"05/27/2007","82.32","82.35","82.59","82.05","","-0.01%"
"05/20/2007","82.33","82.12","82.60","82.08","","0.16%"
"05/13/2007","82.20","82.10","82.40","81.66","","0.10%"
"05/06/2007","82.12","81.61","82.38","81.53","","0.46%"
"04/29/2007","81.74","81.52","82.04","81.25","","0.26%"
"04/22/2007","81.53","81.63","81.93","81.27","","-0.13%"
"04/15/2007","81.64","82.03","82.19","81.51","","-0.60%"
"04/08/2007","82.13","83.00","83.18","81.97","","-1.04%"
"04/01/2007","82.99","82.91","83.21","82.59","","0.07%"
"03/25/2007","82.93","83.39","83.46","82.64","","-0.42%"
"03/18/2007","83.28","83.17","83.50","82.65","","0.06%"
"03/11/2007","83.23","84.23","84.28","83.03","","-1.20%"
"03/04/2007","84.24","83.73","84.38","83.61","","0.60%"
"02/25/2007","83.74","83.97","84.09","83.40","","-0.39%"
"02/18/2007","84.07","84.10","84.53","83.89","","-0.02%"
"02/11/2007","84.09","84.83","85.21","83.94","","-0.92%"
"02/04/2007","84.87","84.98","85.20","84.65","","-0.11%"
"01/28/2007","84.96","85.15","85.38","84.40","","-0.38%"
"01/21/2007","85.28","84.90","85.43","84.49","","0.49%"
"01/14/2007","84.86","84.94","85.26","84.64","","-0.20%"
"01/07/2007","85.03","84.64","85.40","84.43","","0.47%"
"12/31/2006","84.63","83.46","84.81","83.15","","1.09%"
"12/24/2006","83.72","83.84","84.13","83.53","","-0.26%"
"12/17/2006","83.94","84.03","84.22","83.21","","-0.14%"
"12/10/2006","84.06","83.34","84.14","82.88","","0.88%"
"12/03/2006","83.33","82.36","83.34","82.24","","1.03%"
"11/26/2006","82.48","83.35","83.78","82.36","","-1.47%"
"11/19/2006","83.71","85.34","85.48","83.56","","-1.94%"
"11/12/2006","85.37","85.02","85.70","84.84","","0.38%"
"11/05/2006","85.05","85.70","85.93","84.70","","-0.77%"
"10/29/2006","85.71","85.57","85.91","85.15","","0.18%"
"10/22/2006","85.56","86.30","86.92","85.43","","-0.82%"
"10/15/2006","86.27","87.17","87.20","86.14","","-0.98%"
"10/08/2006","87.12","86.53","87.30","86.44","","0.79%"
"10/01/2006","86.44","86.01","86.65","85.47","","0.55%"
"09/24/2006","85.97","85.18","86.22","84.97","","0.90%"
"09/17/2006","85.20","86.06","86.14","84.91","","-0.92%"
"09/10/2006","85.99","85.97","86.17","85.46","","0.05%"
"09/03/2006","85.95","84.87","86.06","84.73","","1.19%"
"08/27/2006","84.94","85.39","85.46","84.72","","-0.52%"
"08/20/2006","85.38","85.02","85.55","84.42","","0.34%"
"08/13/2006","85.09","85.49","85.75","84.61","","-0.50%"
"08/06/2006","85.52","84.53","85.58","84.42","","1.12%"
"07/30/2006","84.57","85.39","85.63","84.39","","-1.02%"
"07/23/2006","85.44","85.86","86.77","85.32","","-0.57%"
"07/16/2006","85.93","86.17","87.33","85.85","","-0.19%"
"07/09/2006","86.09","85.03","86.28","84.97","","1.31%"
"07/02/2006","84.98","85.20","85.76","84.77","","-0.28%"
"06/25/2006","85.22","86.86","86.89","85.14","","-1.84%"
"06/18/2006","86.82","86.01","87.05","85.63","","1.05%"
"06/11/2006","85.92","85.89","86.50","85.66","","0.23%"
"06/04/2006","85.72","84.06","86.06","83.72","","1.99%"
"05/28/2006","84.05","85.07","85.27","83.91","","-1.42%"
"05/21/2006","85.26","84.91","85.47","84.27","","0.45%"
"05/14/2006","84.88","83.61","85.35","83.60","","1.10%"
"05/07/2006","83.96","85.09","85.49","83.61","","-1.36%"
"04/30/2006","85.12","85.93","86.36","85.00","","-1.15%"
"04/23/2006","86.11","87.73","87.92","86.00","","-2.20%"
"04/16/2006","88.05","88.76","89.16","87.73","","-1.75%"
"04/09/2006","89.62","89.60","89.86","89.21","","-0.01%"
"04/02/2006","89.63","89.74","90.40","88.44","","-0.11%"
"03/26/2006","89.73","90.05","90.45","89.28","","-0.38%"
"03/19/2006","90.07","89.07","90.62","88.95","","1.29%"
"03/12/2006","88.92","90.83","90.87","88.85","","-2.12%"
"03/05/2006","90.85","89.36","91.16","89.28","","1.33%"
"02/26/2006","89.66","90.86","90.89","89.50","","-1.05%"
"02/19/2006","90.61","90.45","90.89","90.09","","-0.03%"
"02/12/2006","90.64","90.55","91.02","90.17","","0.10%"
"02/05/2006","90.55","89.86","90.57","89.70","","0.73%"
"01/29/2006","89.89","89.27","90.23","88.69","","0.64%"
"01/22/2006","89.32","88.79","89.40","87.83","","0.42%"
"01/15/2006","88.95","89.11","89.65","88.93","","0.07%"
"01/08/2006","88.89","88.96","89.67","88.73","","0.05%"
"01/01/2006","88.85","90.75","90.94","88.80","","-2.54%"
"12/25/2005","91.17","90.90","91.47","90.52","","0.36%"
"12/18/2005","90.84","89.60","91.23","89.58","","1.27%"
"12/11/2005","89.70","91.43","91.51","89.52","","-1.70%"
"12/04/2005","91.25","92.00","92.19","91.03","","-0.76%"
"11/27/2005","91.95","92.05","92.32","90.80","","-0.10%"
"11/20/2005","92.04","91.87","92.33","91.15","","0.12%"
"11/13/2005","91.93","91.76","92.63","91.50","","-0.05%"
"11/06/2005","91.98","91.39","92.13","91.17","","0.79%"
"10/30/2005","91.26","89.61","91.37","89.40","","1.86%"
"10/23/2005","89.59","90.32","90.43","88.82","","-0.80%"
"10/16/2005","90.31","89.52","90.74","89.16","","1.07%"
"10/09/2005","89.35","89.05","90.43","88.93","","0.20%"
"10/02/2005","89.17","89.51","90.24","88.53","","-0.39%"
"09/25/2005","89.52","89.38","89.82","89.03","","0.35%"
"09/18/2005","89.21","88.52","89.21","87.75","","1.32%"
"09/11/2005","88.05","86.84","88.30","86.75","","1.34%"
"09/04/2005","86.89","86.64","87.20","86.24","","0.68%"
"08/28/2005","86.30","87.74","88.68","86.02","","-1.78%"
"08/21/2005","87.86","88.59","88.66","87.43","","-0.81%"
"08/14/2005","88.58","86.89","88.90","86.83","","1.84%"
"08/07/2005","86.98","88.18","88.29","86.76","","-1.23%"
"07/31/2005","88.06","89.41","89.44","87.61","","-1.44%"
"07/24/2005","89.35","89.75","90.45","89.15","","-0.32%"
"07/17/2005","89.64","89.78","90.36","88.44","","-0.09%"
"07/10/2005","89.72","90.18","90.24","88.28","","-0.59%"
"07/03/2005","90.25","90.28","90.77","89.76","","0.13%"
"06/26/2005","90.13","88.72","90.23","88.32","","1.52%"
"06/19/2005","88.78","88.17","89.35","87.92","","1.20%"
"06/12/2005","87.73","88.72","89.36","87.68","","-1.08%"
"06/05/2005","88.69","88.00","88.75","87.15","","0.74%"
"05/29/2005","88.04","86.90","88.35","86.86","","1.87%"
"05/22/2005","86.42","86.65","86.93","86.10","","-0.24%"
"05/15/2005","86.63","86.22","86.74","85.77","","0.62%"
"05/08/2005","86.10","84.66","86.13","84.22","","1.76%"
"05/01/2005","84.61","84.46","84.69","83.75","","0.21%"
"04/24/2005","84.43","83.51","84.48","83.37","","1.11%"
"04/17/2005","83.50","84.50","84.73","83.36","","-1.25%"
"04/10/2005","84.56","84.49","85.32","83.95","","0.11%"
"04/03/2005","84.47","84.50","85.12","84.32","","0.05%"
"03/27/2005","84.43","84.30","84.74","83.56","","0.36%"
"03/20/2005","84.13","82.11","84.16","82.06","","2.44%"
"03/13/2005","82.13","81.32","82.40","81.31","","0.87%"
"03/06/2005","81.42","82.54","82.94","81.28","","-1.36%"
"02/27/2005","82.54","82.57","83.41","82.30","","-0.15%"
"02/20/2005","82.66","83.54","83.70","82.40","","-0.99%"
"02/13/2005","83.49","84.46","84.53","83.36","","-1.28%"
"02/06/2005","84.57","84.53","85.44","84.36","","0.21%"
"01/30/2005","84.39","83.60","84.43","83.24","","1.09%"
"01/23/2005","83.48","83.15","84.08","83.01","","0.26%"
"01/16/2005","83.26","82.93","84.00","82.83","","0.24%"
"01/09/2005","83.06","83.49","83.61","82.00","","-0.66%"
"01/02/2005","83.61","81.05","83.79","80.77","","3.41%"
"12/26/2004","80.85","81.28","81.37","80.39","","-0.46%"
"12/19/2004","81.22","82.04","82.13","81.14","","-1.14%"
"12/12/2004","82.16","82.67","82.74","81.38","","-0.47%"
"12/05/2004","82.55","80.96","83.18","80.91","","1.94%"
"11/28/2004","80.98","81.93","82.22","80.94","","-0.98%"
"11/21/2004","81.78","83.27","83.54","81.53","","-1.84%"
"11/14/2004","83.31","83.69","84.10","83.01","","-0.45%"
"11/07/2004","83.69","83.88","84.67","83.65","","-0.38%"
"10/31/2004","84.01","84.70","85.66","83.97","","-1.06%"
"10/24/2004","84.91","85.47","85.89","84.73","","-1.12%"
"10/17/2004","85.87","87.09","87.34","85.82","","-1.40%"
"10/10/2004","87.09","87.45","88.57","86.91","","-0.41%"
"10/03/2004","87.45","87.72","88.64","87.35","","-0.21%"
"09/26/2004","87.63","88.28","88.53","87.35","","-0.87%"
"09/19/2004","88.40","88.97","89.28","87.86","","-0.57%"
"09/12/2004","88.91","88.29","89.31","88.23","","0.59%"
"09/05/2004","88.39","89.60","89.73","88.11","","-1.38%"
"08/29/2004","89.63","89.80","90.07","88.70","","-0.16%"
"08/22/2004","89.77","88.15","89.83","88.04","","1.87%"
"08/15/2004","88.12","87.87","88.33","87.66","","0.25%"
